OPTIONS	8							
VEHICULES	921							
								
RATIO	POIDS	NOM						
765	0	0	0	0	0	0	1	0
766	1	0	0	0	0	0	0	0
767	0	0	0	0	0	0	0	0
768	0	0	0	0	0	0	1	0
769	0	1	0	0	0	0	0	0
770	0	0	0	0	0	0	1	0
771	1	0	0	1	1	0	0	0
772	0	1	0	0	0	0	0	1
773	0	0	0	0	0	0	1	0
774	0	1	0	0	0	0	0	0
775	0	0	0	0	0	0	1	0
776	1	0	0	1	0	0	0	0
777	0	1	0	0	0	0	0	0
778	0	0	0	0	0	0	1	0
779	0	1	0	0	0	0	0	1
780	0	0	0	0	0	0	0	0
781	0	0	0	0	0	0	1	0
782	0	0	0	0	0	0	1	0
783	1	0	0	1	0	0	0	0
784	0	1	0	0	0	0	0	0
785	0	0	0	0	0	0	1	0
786	0	0	0	0	0	0	0	0
787	0	0	0	0	0	0	0	0
788	1	0	0	0	0	0	0	0
789	0	0	0	0	0	0	1	0
790	0	0	0	0	0	0	0	0
791	0	1	0	0	0	0	0	1
792	0	0	0	0	0	0	1	0
793	1	0	0	1	0	1	0	0
794	0	0	0	0	0	0	1	0
795	0	1	0	0	0	0	0	0
796	0	0	0	0	0	0	1	0
797	0	1	0	0	0	0	0	1
798	1	0	0	0	0	0	0	0
799	0	0	0	0	0	0	1	0
800	0	0	0	0	0	0	0	0
801	0	0	0	0	0	0	1	0
802	0	1	0	0	0	0	0	0
803	1	0	0	1	1	0	0	0
804	0	1	0	0	0	0	0	1
805	0	0	0	0	0	0	0	0
806	0	0	0	0	0	0	0	0
807	0	0	0	0	0	0	0	0
808	1	0	0	0	0	0	0	0
809	0	1	0	0	0	0	0	1
810	0	0	0	0	0	0	1	0
811	0	1	0	0	0	0	0	0
812	0	0	0	0	0	0	1	0
813	1	0	0	1	0	0	0	0
814	0	1	0	0	0	0	0	0
815	0	0	0	0	0	0	1	0
816	0	0	0	0	0	0	0	0
817	0	1	0	0	0	0	0	1
818	0	0	0	0	0	0	1	0
819	1	0	0	1	0	0	0	0
820	0	1	0	0	0	0	0	0
821	0	0	0	0	0	0	1	0
822	0	0	0	0	0	0	0	0
823	0	0	0	0	0	0	0	0
824	0	0	0	0	0	0	1	0
825	0	1	0	0	0	0	0	1
826	1	0	0	1	0	0	0	0
827	0	0	0	0	0	0	1	0
828	0	0	0	0	0	0	1	0
829	0	0	0	0	0	0	0	0
830	0	0	0	0	0	0	1	0
831	0	1	0	0	0	0	0	1
832	1	0	0	1	1	0	0	0
833	0	0	0	0	0	0	1	0
834	0	0	0	0	0	0	0	0
835	0	1	0	0	0	0	0	0
836	0	0	0	0	0	0	1	0
837	1	0	0	0	0	0	0	0
838	0	1	0	0	0	0	0	1
839	0	0	0	0	0	0	1	0
840	0	1	0	0	0	0	0	0
841	0	0	0	0	0	0	1	0
842	1	0	0	1	0	0	0	0
843	0	0	0	0	0	0	0	0
844	0	0	0	0	0	0	1	0
845	0	1	0	0	0	0	0	1
846	0	0	0	0	0	0	0	0
847	0	0	0	0	0	0	1	0
848	1	0	0	1	0	0	0	0
849	0	0	0	0	0	0	0	0
850	0	0	0	0	0	0	1	0
851	0	0	0	0	0	0	0	0
852	0	0	0	0	0	0	0	0
853	1	0	0	0	0	0	0	0
854	0	0	0	0	0	0	1	0
855	0	0	0	0	0	0	0	0
856	0	0	0	0	0	0	0	0
857	0	0	0	0	0	0	1	0
858	1	0	0	0	0	0	0	0
859	0	1	0	0	0	0	0	1
860	0	0	0	0	0	0	1	0
861	0	0	0	0	0	0	0	0
862	0	0	0	0	0	0	0	0
863	0	0	0	0	0	0	0	0
864	1	0	0	1	1	0	0	0
865	0	0	0	0	0	0	1	0
866	0	1	0	0	0	0	0	1
867	0	0	0	0	0	0	0	0
868	0	0	0	0	0	0	1	0
869	1	0	0	0	0	0	0	0
870	0	0	0	0	0	0	0	0
871	0	0	0	0	0	0	1	0
872	0	0	0	0	0	0	0	0
873	0	0	0	0	0	0	0	0
874	0	0	0	0	0	0	1	0
875	1	0	0	1	0	0	0	0
876	0	1	0	0	0	0	0	1
877	0	0	0	0	0	0	1	0
878	0	1	0	0	0	0	0	0
879	0	0	0	0	0	0	0	0
880	1	0	0	0	0	0	0	0
881	0	0	0	0	0	0	1	0
882	0	1	0	1	0	0	0	1
883	0	0	0	0	0	0	0	0
884	0	1	0	0	0	0	0	0
885	1	0	0	0	0	0	0	0
886	0	1	0	0	0	0	0	1
887	0	0	0	0	0	0	0	0
888	0	0	0	0	0	0	0	0
889	0	0	0	0	0	0	1	0
890	1	0	0	1	1	0	0	0
891	0	0	0	0	0	0	0	0
892	0	0	0	0	0	0	1	0
893	0	0	0	0	0	0	0	0
894	0	0	0	0	0	0	0	0
895	0	0	0	0	0	0	1	0
896	0	1	0	0	0	0	0	1
897	1	0	0	1	0	0	0	0
898	0	1	0	0	0	0	0	0
899	0	0	0	0	0	0	1	0
900	0	1	0	0	0	0	0	1
901	0	0	0	0	0	0	0	0
902	0	1	0	0	0	0	0	0
903	1	0	0	0	0	0	0	0
904	0	0	0	0	0	0	0	0
905	0	0	0	0	0	0	0	0
906	0	1	0	0	0	0	0	1
907	0	0	0	0	0	0	1	0
908	1	0	0	1	0	0	0	0
909	0	0	0	0	0	0	0	0
910	0	1	0	0	0	0	0	1
911	0	0	0	0	0	0	1	0
912	0	1	0	0	0	0	0	0
913	1	0	0	0	0	0	0	0
914	0	0	0	0	0	0	1	0
915	0	0	0	0	0	0	0	0
916	0	1	0	0	0	0	0	1
917	0	0	0	0	0	0	0	0
918	0	1	0	0	0	0	0	0
919	1	0	0	1	1	0	0	0
920	0	1	0	0	0	0	0	1
921	0	0	0	0	0	0	1	0
